Año;Vuelo;Resumen https://asn.flightsafety.org/wikibase/309118   https://www.ntsb.gov/Pages/AviationQueryv2.aspx;Avión;Víctimas
2022;2213 de LATAM Perú;Colisión. Dos vehículos de emergencia entraron en la pista sin permiso. El simulacro de emergencia había sido mal planificado por la Corporación Peruana de Aeropuertos y Aviación Comercial (Córpac), y la coordinación con el aeropuerto en relación con el simulacro fue deficiente. Los controladores aéreos sólo habían sido notificados del simulacro aproximadamente una hora antes de que se produjera, por lo que disponían de información limitada. Además, la comunicación entre los controladores aéreos y el personal de emergencia utilizaba terminología no estándar.;Airbus A320-271N;(3 bomberos) 0 de 108
2024;1282 de Alaska Airlines;Tapón. Aterrizaje de emergencia. Alguien se olvidó de poner los pernos o de apretarlos. La puerta de emergencia estaba deshabilitada, el tapón saltó por los aires en pleno vuelo en un avión de Alaska Airlines, no tenía las cuatro sujeciones correspondientes para que estuviera bien fijada. Afortunadamente el niño que iba en esa silla tenía puesto el cinturón de seguridad.;Boeing 737 MAX 9;0 de 177
2024;2283 de Voepass Linhas Aéreas;"Engelamiento. El avión perdió sustentación y entró en un ""giro plano"" o ""Flat Spin"". La grabadora de voz de la cabina del avión reveló que los pilotos se habían dado cuenta de que se estaba acumulando hielo y que había una falla en el sistema de deshielo. El análisis del registrador de datos de vuelo también mostró que el sistema de deshielo de la aeronave se encendió y apagó varias veces.";ATR 72-500;62 de 62
2024;7C2216 de Jeju Air;Aterrizaje sin trenes, se sale de la pista y se estrella contra una barrera de hormigón con las antenas localizer. Al parecer impactaron contra un grupo de patos, pero 4 minutos antes las cajas negras dejaron de grabar.;Boeing 737-800;179 de 181
2025;5342 de American;Sikorsky UH-60 Black Hawk operado por el Ejército de los Estados Unidos colisionó con el vuelo 5342 de American Eagle, un vuelo desde Wichita, Kansas, a Washington D. C., operado por PSA Airlines en nombre de American Eagle.[1][2][3] La colisión ocurrió sobre el río Potomac mientras el Bombardier CRJ-701ER estaba en aproximación final al Aeropuerto Nacional Ronald Reagan de Washington.[4][5][6] Posteriormente, el helicóptero se estrelló en el río, según confirmó el Departamento de Bomberos y Servicios Médicos de Emergencia del Distrito de Columbia.menos de 30 segundos antes de la colisión, un controlador de tráfico aéreo preguntó a la tripulación del helicóptero si tenían a la vista el vuelo 5342. La tripulación confirmó el contacto visual y solicitó «separación visual» del avión de pasajeros, lo que fue aprobado por el controlador.;;64 y 3
2025;N980VC charter;Fallo tren LH, aterrizaje de emergencia en Olaya Herrera Medellín. Venía de Manizales de hacer ejercicio de toque y despegue. Se produjo un colapso del tren de aterrizaje principal izquierdo en la fase de rodaje, lo que hizo que el avión se apoyara sobre el ala izquierda y bloqueara la pista.;Beechcraft C-90;0 de 2
2025;AI171 de Air India;Switch. Ambos motores se apagaron porque los fuel?control switches pasaron a CUTOFF a los pocos segundos del despegue, cortando el combustible a ambos motores, activación de la RAT (ram air turbine) se desplegó inmediatamente tras la pérdida de potencia, señal de fallo severo de energía eléctrica/hidráulica, tren no alcanzó a subir. Unico sobreviviente salió expulsado por la salida de emergencia justo al momento del impacto.;Boeing 787-8 Dreamliner;241 de 242, y casi 30 personas en tierra residentes de Medicina
2025;1230 de JetBlue;Software, en un vuelo de JetBlue entre Cancún (México) y Newark (EEUU 30oct2025) un A320 sufrió una súbita pérdida de altitud causada por un error de datos en el ELAC, (30 metros en 7 segundos). La tripulación tuvo que desviar la aeronave y efectuar un aterrizaje de emergencia en Tampa, Florida. Entre 15 y 20 personas padecieron lesiones leves. Alrededor de 6 mil aviones necesitaron una rápida actualización de software para volver a la versión anterior que tenía redundancia en hardware de electrónica.;Airbus A320;0 de 162, 20 hospitalizados
1956;Militar;"DISPARO. El piloto disparó sus cañones y luego entró en un picado. Al descender, su avión terminó cruzando la trayectoria de sus propios proyectiles, y recibió impactos que dañaron el parabrisas y el motor.";F-11F Tiger NAVY;1 de 1
1991;Militar;"SHAFT. El helicóptero sufrió pérdida de potencia causando la muerte de 2 militares. La investigación determinó que la causa física fue el sobrecalentamiento y la falla de un acoplamiento del eje de transmisión (drive shaft coupling). En 1976 Bell Helicopter emitió un boletín técnico sugiriendo pintar los acoplamientos con unos puntos de pintura especial sensible al calor.En 1981 Bell volvió a advertir a la USAF que el sobrecalentamiento podía causar una ""pérdida de función o falla total"".En 1982 emitió un aviso de seguridad tras investigar fallas recientes en acoplamientos que no tenían la pintura indicadora.A pesar de estas advertencias claras, la USAF decidió no implementar el cambio al encontrar ""justificación insuficiente"" para seguir la recomendación, se priorizaron criterios técnicos o económicos.En 1991 después de la tragedia y la pérdida de vidas, la Fuerza Aérea finalmente adoptó el uso de la pintura sensible al calor como un requisito obligatorio antes de cada vuelo. Temp-Plates.";UH-1N Huey USAF;3 de 6
1994;Militar;COMPLACENCIA. Un B?52H practicaba para un airshow realizando maniobras muy agresivas (virajes con mucho alabeo, pasadas bajas) fuera de los límites de manual. En un giro muy cerrado a baja altura, el avión entró en pérdida y se estrelló, muriendo los cuatro tripulantes. El factor clave fue la tolerancia prolongada de la cadena de mando a un piloto con historial de violaciones graves de procedimientos y márgenes de seguridad.;B-52 Stratofortress;4 de 4
2000;Militar;CERTIFICACIÓN. un MV?22 del USMC se estrelló durante un ejercicio nocturno de asalto en Marana, Arizona. No caracterizó suficientemente sus características VRS en configuración tilt?rotor durante los ensayos de desarrollo, y que parte de esos ensayos fueron recortados o diferidos. Junio 1991 (New Castle) Sistema de control de vuelo mal cableado. Deficiencia en el control de calidad y validación de la instalación. Julio 1992 (Potomac) Incendio por fluidos en la góndola del motor. Diseño inadecuado de protección contra fuego en prototipo. Posterior introducción de un firewall de titanio.Abril 2000 (Marana) Vortex Ring State (VRS). Inadecuada definición de la envolvente de vuelo y límites de descenso. (19 muertos)Junio 2022 (California) Hard Clutch Engagement (HCE). Falla en la certificación de redundancia del sistema de transmisión. SW HW.Nov. 2023 (Gundam 22) Falla del engranaje de piñón. Uso de acero defectuoso por el proveedor, chip det. gearbox desde el 2013.Presión política y operativa para acelerar la certificación de una tecnología disruptiva (el rotor inclinable) sin una comprensión total de sus límites aerodinámicos. ;V-22 Osprey;19 de 19
2006;Militar;MODIFICACIÓN. Nimrod MR2 XV230 de la RAF explotó en vuelo sobre Afganistán poco después de un  reabastecimiento en vuelo, falleciendo los 14 ocupantes. Fuga de combustible entró en contacto con una tubería del sistema de aire acondicionado extremadamente caliente. BAE Entre 2001 y 2005 se realizó un estudio para evaluar la seguridad de la flota Nimrod (tick-box exercise). No se detectó que las líneas de combustible y las tuberías de aire caliente estaban peligrosamente cerca, un error de diseño que existía desde hacía años.Existía la suposición generalizada de que, como el Nimrod había volado con éxito durante 30 años, era intrínsecamente seguro, ignorando el desgaste de una plataforma antigua.Gran parte del trabajo técnico se delegó a consultores externos que no tenían un conocimiento práctico profundo del avión. Documentos resultantes eran voluminosos y complejos.Hubo incidentes previos en otros aviones de la flota que servían como señales de alerta sobre fugas de combustible y problemas con los conductos de aire caliente. Estas señales no se conectaron ni se analizaron como un riesgo sistémico antes del accidente del XV230.;MR2 Nimrod raf;14 de 14
2007;Militar;LARGUERO. Durante una misión de entrenamiento con maniobra de 7G, el avión comenzó a sacudirse y se partió en dos. El piloto logró eyectarse con éxito. Espesor inferior en la producción en serie. Alerta encontró en 182 (40% flota mundial). La Fuerza Aérea de EE. UU. (USAF) selecciona el diseño de McDonnell Douglas para el F-15 en 1969. Los planos de ingeniería definían que el larguero superior derecho grosor uniforme de 100 mils (2.5 mm).Durante el proceso de fabricación 1981 se produjo una pieza defectuosa. Grosor no uniforme en algunas secciones, el metal tenía apenas 39 mils (menos de 1 mm).Los inspectores de calidad de la fábrica y los protocolos de la época no detectaron que la pieza era un 60% más delgada de lo que exigía el plano de diseño antes de instalarla en el avión.El avión entró en servicio en 1982 y operó durante 25 años. Debido a que la pieza era demasiado delgada, el metal sufría más de lo previsto. Se formaron microgrietas por fatiga en la sección delgada.Punto Ciego de Mantenimiento: Zona estructural interna, oculta bajo otras capas de metal, invisibles para las inspecciones de rutina.;F-15C Eagle;1 eyectado
2010;Militar;REPARACION OBOGS. Un F?22 se accidentó cerca de Elmendorf poco después del despegue nocturno. Hubo pérdida de oxígeno asociada al sistema OBOGS/bleed air y el piloto intentó gestionar la emergencia, pero el avión entró en una actitud anómala y terminó impactando el terreno, con pérdida del piloto. La investigación combinó factores de diseño (gestión de fallos de oxígeno y ergonomía de controles de emergencia) y actuación del piloto en un entorno de alta carga de trabajo.;F-22 Raptor;1 de 1
2010;Militar;COMPLACENCIA. En el campo de fútbol del Batallón Caicedo operaban simultáneamente un Bell 222 civil (al servicio del Ejército) y un H?500 HS de la FAC. Tras un primer vuelo, el Bell regresó, el H?500 inició motores y ambos coordinaron por radio, pero luego los dos helicópteros comenzaron giro en estacionario y despegue casi al mismo tiempo, desde posiciones distintas, sin contacto visual recíproco y con trayectorias convergentes. Colisionaron a unos 90 ft de altura, resultando destruidas ambas aeronaves y falleciendo todos los ocupantes del helicóptero militar y la mayoría de los del Bell. El núcleo causal fue la ausencia de una secuencia clara y de control local efectivo en un helipuerto improvisado con múltiples aeronaves.;Bell 222 ejc y H-500 HS FAC;6 de 11
2015;Militar;SOFTWARE. Un A?400M en vuelo de prueba se estrelló poco después del despegue de Sevilla cuando tres de sus cuatro motores no entregaron potencia adecuada. La causa fue un error de carga/configuración de software de los FADEC/ECU durante mantenimiento/producción, que dejó borrados parámetros de calibración críticos, en vuelo, esos motores quedaron prácticamente al ralentí. El diseño permitía que esta condición no se manifestara claramente en tierra, de modo que el fallo sólo apareció en el despegue.;A-400M Atlas;4 de 6
2017;Militar;"HELICE. KC-130T del Cuerpo de Marines transporte táctico y cisterna, una pala del M2 atravesó hasta el M3 partiendo el avión. Los 16 militares a bordo perdieron la vida. En 2011 la hélice fue enviada al Complejo de Logística (WR-ALC). Los técnicos debían detectar y eliminar cualquier rastro de corrosión. No siguieron los manuales, pintaron sobre el óxido.Hasta el 2017 el avión siguió volando con una ""bomba de tiempo"" pintada. La grieta creció de forma invisible bajo la capa de pintura durante miles de horas de vuelo (6 años).Los estudios metalúrgicos encontraron la corrosión original de 2011 bajo la pintura vieja. El problema era sistémico: falta de supervisión, herramientas mal calibradas y una cultura de trabajo que priorizaba la velocidad sobre la seguridad.Este evento obligó a las fuerzas armadas a retirar del servicio cientos de hélices de modelos antiguos de C-130 y a cambiar por completo cómo se auditan los talleres de mantenimiento militar para evitar que se ignoren los manuales técnicos.";KC-130T Hercules;16 de 16
2026;Militar;COMUNICACIÓN. Durante la carrera de despegue del A4278 en ruta Bogotá San Andrés, un helicóptero de la FAC autorizado por la torre se cruzó en la trayectoria, obligando a la tripulación a ejecutar un Rejected Takeoff (RTO) de alta velocidad, reventando 4 llantas en el frenado.;Bell 212 y A320 LA4278;0 de 161
