Fecha;Documento;Titulo;Observaciones
01/dic/2023;ED-322;System Performance and Interoperability Requirements for Non-Cooperative UAS Detection Systems WG-115;This document describes the system performance and interoperability requirements for non-cooperative UAS detection systems in airport environments. The document is intended to summarise the different aspects of the Counter UAS (C-UAS) system and to have a better understanding of the C-UAS system components at the detection level. This document will identify performance requirements parameters of the Counter UAS detection system as it has been defined in the ED 286 / DO-389 Operational Services and Environment Definition (OSED) for Counter UAS in Controlled Airspace. EUROCAE
01/may/2020;EDAES 2042;Estrategia para el Desarrollo Aéreo y Espacial de la FAC;El presente documento describe dicho planteamiento en cuatro partes. Primero, se presenta el marco estratégico que permite entender la naturaleza y alcance de la misión, visión, principios, valores, virtudes y políticas que fundamentan los esfuerzos institucionales. Segundo, se desarrolla la estructura organizacional, y se especifican las áreas misionales, capacidades institucionales y oferta de valor de la Fuerza, así como, la identificación y caracterización de los grupos de valor que permiten identificar los requerimientos de los ciudadanos, usuarios y grupos de interés, ajustando y fortaleciendo con ello las capacidades de la institución para responder satisfactoriamente a los requerimientos de estos grupos. Tercero, se expone el plan de desarrollo de la FAC, que se apoya en análisis prospectivos y permite definir los escenarios que podrían presentarse para la Fuerza en los años 2022, 2030 y 2042. Finalmente, en la cuarta parte se presenta el plan estratégico 2022, que define los objetivos e iniciativas estratégicas para el cuatrienio, en línea con el direccionamiento estatal y sectorial.
05/abr/2002;FAA 8120-2C;PRODUCTION APPROVAL AND CERTIFICATE MANAGEMENT PROCEDURES;This order contains guidance related to production approvals and certificate management (CM) of manufacturers of type-certificated products, technical standard order articles, and replacement and modification parts, including Manufacturer's Maintenance Facilities established therein, to ensure fair and uniform administration of the pertinent Title 14 Code of Federal Regulations (14 CFR), part 21, Certification Procedures for Products and Parts (part 21).
01/feb/2014;FAA 8130-3;Authorized Release Certificate, Airworthiness Approval Tag;This order establishes procedures for accomplishing original and recurrent airworthiness certification of aircraft and related products. The procedures contained in this order apply to Federal Aviation Administration (FAA) manufacturing aviation safety inspectors (ASI), to FAA airworthiness ASIs, and to private persons or organizations delegated authority to issue airworthiness certificates and related approvals.
17/mar/2017;FAA 8150.1D;Technical Standard Order Program;This order explains how to evaluate and issue technical standard order (TSO) authorizations (TSOA) and letters of TSO design approval (LODA) for aviation-related articles.
03/nov/2023;FAA-H-8083-25C;Pilot's Handbook of Aeronautical Knowledge;The Pilot’s Handbook of Aeronautical Knowledge provides basic knowledge for the student pilot learning to fly, as well as pilots seeking advanced pilot certification. For detailed information on a variety of specialized flight topics, see specific Federal Aviation Administration (FAA) handbooks and Advisory Circulars (ACs).
24/may/2022;FAA-H-8083-2A;Risk Management Handbook;This handbook is a tool designed to help recognize and manage risk. It provides a higher level of training to the pilot in command (PIC) who wishes to aspire to a greater understanding of the aviation environment and become a better pilot. This handbook is for pilots of all aircraft from weight-shift control (WSC) to a Piper Cub, a Twin Beechcraft, or a Boeing 747. A pilot's continued interest in building skills is paramount for safe flight and can assist in rising above the challenges which pilots of all backgrounds and experience levels face. PAVE checklist: Pilot, Aircraft, enVironment, External pressures.
21/jul/2023;FAA-H-8083-30B;Aviation Maintenance Technician Handbook–General;The handbook is designed to aid students enrolled in a formal course of instruction preparing for FAA certification as a maintenance technician as well as for current technicians who wish to improve their knowledge. This volume contains information on mathematics, aircraft drawings, weight and balance, aircraft materials, processes and tools, physics, electricity, inspection, ground operations, and FAA regulations governing the certification and work of maintenance technicians. New to this volume is a section addressing how successful aviation maintenance technicians incorporate knowledge and awareness of ethics, professionalism and human factors in the field. AIRFRAME & POWERPLANT
30/dic/2016;FAR Part 23;Airworthiness Standards: Normal Category Airplanes;Continued safe flight and landing   means an airplane is capable of continued controlled flight and landing, possibly using emergency procedures, without requiring exceptional pilot skill or strength. Upon landing, some airplane damage may occur as a result of a failure condition.
24/dic/1964;FAR Part 25;Airworthiness Standards: Transport Category Airplanes;The passenger capacity may not exceed 60.
24/nov/1964;FAR Part 27;Airworthiness Standards: Normal Category Rotorcraft;This part prescribes airworthiness standards for the issue of type certificates, and changes to those certificates, for normal category rotorcraft with maximum weights of 7,000 pounds or less and nine or less passenger seats.
03/dic/1964;FAR Part 29;Airworthiness Standards: Transport Category Rotorcraft;Rotorcraft with a maximum weight greater than 20,000 pounds and 10 or more passenger seats must be type certificated as Category A rotorcraft.
18/abr/2022;GA-CEOAF-INS-009;REMOCION CONTROLADA DE PARTES;Se prohíbe efectuar la remoción de cualquier componente de una aeronave de la FAC para ser instalada en otra aeronave, sin la elaboración del formato GA-CODAF-FR-001, generada por medio de la transacción ZPM108, así como su respectiva anotación en la forma FAC 4-282T-1
31/dic/1993;IEEE P1220;Standard for system engineering-a commercial standard for improving competitiveness;The IEEE organized a standards group in December, 1989 to establish an industry-based standard for systems engineering. The standard's development is nearing completion, and provides a common framework for understanding systems engineering as established by MIL-STD-499B, Systems Engineering (draft). Many enterprises support both defense and commercial endeavors, and strive to establish a common approach for orchestrating its programs independent of the target customer. Thus, it is necessary to establish a common understanding and interpretation of these standards to permit companies to establish a single system engineering program which satisfies the requirements of both communities. A framework for establishing such a system engineering program is discussed, and the elements of the system engineering process defined.
14/dic/2023;IPC 2221C;Generic Standard on Printed Board Design;IPC-2221C is the foundation design standard for all documents in the IPC-2220 series. It establishes the generic requirements for the design of printed boards and other forms of component mounting or interconnecting structures, whether single-sided, double-sided or multilayer. Among the many updates to Revision C are new guidance and requirements on material and copper foil selection  https://shop.electronics.org/ipc-2221/ipc-2221-standard-only
28/sep/2023;IPC-6012F;Qualification and Performance Specification for Rigid Printed Boards;IPC-6012F, covers qualification and performance of rigid printed boards, including single-sided, double-sided, with or without plated-through holes, multilayer with or without blind/buried vias and metal core boards. It addresses final finish and surface plating coating requirements, conductors, holes/vias, frequency of acceptance testing and quality conformance as well as electrical, mechanical.
01/jul/2010;IPC-7351B;Generic Requirements for Surface Mount Design and Land Pattern Standard;This popular document covers land pattern design for all types of passive and active components, including resistors, capacitors, MELFs, SOPs, QFPs, BGAs, QFNs and SONs. The standard provides printed board designers with an intelligent land pattern naming convention, zero component rotations for CAD systems and three separate land pattern geometries for each component that allow the user to select.
04/abr/2024;IPC-A-610J;Acceptability for Electronic Assemblies;IPC-A-610J is the most widely used electronics assembly acceptance standard in the electronics industry. Participants from 31 countries provided their input and expertise to bring this document to the electronics industry. IPC-A-610J is a must-have standard for inspectors, operators and others with an interest in the acceptance criteria for electronic assemblies. IPC-A-610 is developed in synergy.
14/sep/2001;JTA-A;Joint Technical Architecture User Guide and Component JTA Management Plan;The User Guide and Management Plan was developed to help explain the structure and rationale for the organization of the JTA. It addresses how and when to use a mandated or emerging standard, related DoD policies, and JTA compliance guidelines. It explains how to use the JTA in the development of new systems, and it provides a methodology for migrating existing legacy systems undergoing major upgrades into compliance with the JTA. In addition, Service and Agency implementation plans are discussed, as well as the subject of waivers. While this document applies specifically to the JTA Version 4.0, most of the guidance can also be applied to earlier versions.
12/ago/2008;MIL-DTL-5015H;CONNECTORS, ELECTRICAL, CIRCULAR THREADED, AN TYPE, GENERAL SPECIFICATION FOR;This specification covers circular threaded electrical connectors with solder or removable crimp contacts (both front and rear release). These connectors are for use in electronic, electrical power, and control circuits.
13/jul/1997;MIL-E-16400H;ELECTRONIC, INTERIOR COMMUNICATION AND NAVIGATION EQUIPMENT, NAVAL SHIP AND SHORE: GENERAL SPECIFICATION FOR;This specification covers Naval ship and shore electronic, interior communication and navigation equipment, and those units of other Naval ship and shore equipment that utilize electronic technology (see 6.1). Guidance is provided in 6.4.1 for the selective application and tailoring of requirements to the equipment development phase and the equipment installation site.
28/mar/1991;MIL-HDBK-1388-2B;REQUIREMENTS FOR A LOGISTIC SUPPORT ANALYSIS RECORD;This standard prescribes the data element definitions (DED), data field lengths, and formats for Logistic Support Analysis (LSA) Record (LSAR) data. It identifies the LSAR reports that are generated from the LSAR data and identifies the LSAR relational tables and automated data processing (ADF) specifications for transmittal and delivery of automated LSAR data.
03/jul/2002;MIL-HDBK-1530B;AIRCRAFT STRUCTURAL INTEGRITY PROGRAM, GENERAL GUIDELINES FOR (ASIP);This handbook contains general guidelines for the U.S. Air Force Aircraft Structural Integrity Program (ASIP). These guidelines describe the processes proven successful in the achievement of structural integrity in USAF air vehicles while the cost of ownership is minimized, and cost and schedule risks managed through a series of disciplined, time-phased tasks. This handbook is for guidance only. This handbook cannot be cited as a requirement. If it is, the contractor does not have to comply.
07/dic/2007;MIL-HDBK-1670;ENVIRONMENTAL CRITERIA AND GUIDELINES FOR AIR-LAUNCHED WEAPONS;This handbook establishes guidelines for the development of environmental engineering design and test requirements for air-launched weapons.
15/jun/1998;MIL-HDBK-1763;AIRCRAFT/STORES COMPATIBILITY: SYSTEMS ENGINEERING DATA REQUIREMENTS AND TEST PROCEDURES;This handbook applies to all agencies within the DoD and industry involved with determining the extent of compatibility between military aircraft and aircraft stores. It applies to every activity of the system life cycle involving aircraft and/or stores including: development, manufacturing, deployment, operations, support, training and disposal.
14/feb/1997;MIL-HDBK-1791;DESIGNING FOR INTERNAL AERIAL DELIVERY IN FIXED WING AIRCRAFT;This standard covers general design and performance requirements of military equipment for internal air transport in military prime mission cargo aircraft and long range international segment of the Civil Reserve Air Fleet (CRAF).
02/dic/1991;MIL-HDBK-217F;RELIABILITY PREDICTION OF ELECTRONIC EQUIPMENT;establish and maintain consistent and uniform methods for estimating the inherent reliability (i.e., the reliability of a mature design) of military electronic equipment and systems. It provides a common basis for reliability predictions during acquisition programs for military electronic systems and equipment. It also establishes a common basis for comparing and evaluating reliability predictions of related or competitive designs. The handbook is intended to be used as a tool to increase the reliability of the equipment being designed.
10/mar/2011;MIL-HDBK-240A;HAZARDS OF ELECTROMAGNETIC RADIATION TO ORDNANCE (HERO) TEST GUIDE;This handbook supplements MIL-STD-464 by providing guidance for the assessment of the Hazards of Electromagnetic Radiation to Ordnance (HERO) verification margins in that standard. It is concerned with HERO testing for all Air Force, Army, Navy, Marine Corps, and Coast Guard ordnance items and support equipment for all mission areas. Although intended primarily for use by Department of Defense (DoD) HERO test activities, the handbook also provides a consolidation of "corporate knowledge" about the subject that should be of interest to procurement authorities and system developers
06/abr/1990;MIL-HDBK-244A;GUIDE TO AIRCRAFT/STORES COMPATIBILITY;The handbook is intended to cover all aspects of aircraft/weapons compatibility: mechanical, electrical, structural, aerodynamic, etc. These are dealt with individually as they relate to various elements of the complete system. The material has been organized to present design guidelines for the five general categories of weapon system components: aircraft, suspension equipment, stores, stores management equipment, and ground support equipment. This information deals with compatibility of the components while the system is on the ground, in flight, and during weapon delivery.
14/nov/2011;MIL-HDBK-274;ELECTRICAL GROUNDING FOR AIRCRAFT SAFETY;This handbook has been prepared to provide U.S. Navy and Marine Corps aircraft maintenance and operations personnel with the background and technical details of the different types of aircraft grounds and how they are applied. In addition, this handbook provides background information for aircraft grounding, static electricity theory and how it affects aircraft, and techniques used for measurement of grounding points. This handbook is intended for use by all U.S. Navy and Marine Corps aircraft maintenance and operations personnel for the purposes of ensuring that aircraft are properly and safely grounded.
15/may/1990;MIL-HDBK-411;POWER AND THE ENVIRONMENT FOR SENSITIVE DOD ELECTRONIC EQUIPMENT;This three-volume handbook is a reference for the planning and engineering of power and environmental control systems for fixed Department of Defense (DOD) communications, data processing, and information systems facilities. The engineering concepts contained herein should be selectively applied to the power and environmental elements of DOD fixed facilities. DOD communications and data processing installations include equipment rooms and spaces needing more precisely controlled environments than comfort spaces.
29/dic/1987;MIL-HDBK-419A;GROUNDING: BONDING, AND SHIELDING FOR ELECTRONIC EQUIPMENTS AND FACILITIES, VOLUME 1 (BASIC THEORY) AND VOLUME 2 (APPLICATION);This handbook emphasizes the necessity for including considerations of grounding, bonding, and shielding in all phases of design, construction, operation, and maintenance of electronic equipment and facilities. Volume 1, Basic Theory, develops the principles of personnel protection, fault protection, lightning protection, interference reduction, and EMP protection for C-E facilities. In addition, the basic theories of earth connections, signal grounding, electromagnetic shielding, and electrical bonding are presented. The subjects are not covered independently, rather they are considered from the standpoint of how they influence the design of the earth electrode subsystem of a facility, the selection of ground reference networks for equipments and structures, shielding requirements, facility and equipment bonding practices, etc. Volume 1 also provides the basic background of theory and principles that explain the technical basis for the recommended practices and procedures, illustrates the necessity for care and thoroughness in implementation of grounding, bonding, and shielding, and provides supplemental information to assist in the solution of those problems and situations not specifically addressed. In Volume 2, Applications, the principles and theories, including RED/BLACK protection, are reduced to the practical steps and procedures which are to be followed in structural and facility development, electronic engineering, and in equipment development. These applications should assure personnel, equipment and structural safety, minimize electromagnetic interference (EMI) problems in the final operating system, and minimize susceptibility to and generation of undesirable emanations. The emphasis in Volume 2 goes beyond development to assembly and construction, to installation and checkout, and to maintenance for long term use.
15/abr/2007;MIL-HDBK-454B;GENERAL GUIDELINES FOR ELECTRONIC EQUIPMENT;This handbook is the technical baseline for the design and construction of electronic equipment for the Department of Defense. It captures in one document, under suitable subject heading, fundamental design guidelines for multiple general electronic specifications. The opportunity to focus on a single document, afforded to contractors, results in substantial savings to the Government. This handbook was prepared by, and is regularly updated through, the cooperative efforts of Government and industry. The documents listed below are not necessarily all of the documents referenced herein, but are those needed to understand the information provided by this handbook. (i) DOD-E-8983 Electronic Equipment, Aerospace, Extended Space Environment, General Specification for., (ii) MIL-F-18870 Fire Control Equipment, Naval Ship and Shore, General Specification for., (iii) MIL-PRF-28800 Test Equipment for Use with Electrical and Electronic Equipment, General Specification for., and (iv) MIL-HDBK-2036 Electronic Equipment Specifications, Preparation of.
12/dic/2014;MIL-HDBK-516C;AIRWORTHINESS CERTIFICATION CRITERIA;This document establishes the airworthiness certification criteria to be used in the determination of airworthiness of all manned and unmanned, fixed and rotary wing air vehicle systems. It is a foundational document to be used by the system program manager, chief engineer, and contractors to define their air system's airworthiness certification basis.
20/nov/2018;MIL-HDBK-522;GUIDELINES FOR INSPECTION OF AIRCRAFT ELECTRICAL WIRING INTERCONNECT SYSTEMS;This handbook provides guidance and lessons learned in the inspection of EWIS. This handbook is for guidance only and cannot be cited as a requirement. If it is, the contractor does not have to comply. This handbook is a guide for aircraft Electrical Wiring Interconnect System (EWIS) inspection. In case of conflict between the aircraft/platform-specific maintenance manual and this handbook, the platform specific manual will take precedence. Not all possible wire systems factors have been addressed. This handbook captures in one document, under suitable subject heading, fundamental installation criteria guidelines. The opportunity to focus on a single document results in substantial savings to the Government. All aircraft are filled with miles of wiring and hundreds of wiring devices that connect and transfer power and signals to and from electrical components. Virtually all aircraft systems rely heavily on some type of wiring for safe operation. Much like the structural components of an aircraft, the health and integrity of the EWIS can be significantly compromised due to premature aging, damage, and failure of wiring insulation. It is integral to the overall maintenance and sustainment of all aircraft that the EWIS be treated as a system and as a system be afforded the same level of importance as the aircraft structure and other critical flight control systems
30/nov/1995;MIL-HDBK-5400;MILITARY HANDBOOK: ELECTRONIC EQUIPMENT, AIRBORNE, GENERAL GUIDELINES FOR;This handbook contains general guidelines for electronic equipment for operation in piloted aircraft and helicopters, missiles, boosters and allied vehicles. Detail electrical and mechanical design, performance and test requirements should be as specified in the detail specification or contract.
31/ene/2003;MIL-HDBK-5J;METALLIC MATERIALS AND ELEMENTS FOR AEROSPACE VEHICLE STRUCTURES;Design information on the strength properties of metallic materials and elements for aerospace vehicle structures. All information and data contained in this handbook have been coordinated with the Air Force, Army, Navy, Federal Aviation Administration, and industry prior to publication, and are being maintained as a joint effort of the Federal Aviation Administration and the Department of Defense. This Handbook is primarily intended to provide a source of design mechanical and physical properties, and joint allowables.
07/abr/2020;MIL-HDBK-61B;CONFIGURATION MANAGEMENT GUIDANCE;This military handbook provides guidance and best practices on how Program Managers (PM), systems engineers, logistics managers, and other individuals assigned responsibility for Configuration Management (CM) perform and contract for CM. Its purpose is to provide for guidance in planning and implementing effective Department of Defense (DoD) CM activities and practices during the life cycle of the defense systems. This handbook is intended to cover the DoD specific management activities related to acquisition and sustainment throughout the system’s lifecycle. This handbook is for guidance only and cannot be cited as a requirement.
31/jul/1995;MIL-HDBK-759;HUMAN ENGINEERING DESIGN GUIDELINES;This document provides basic guidelines and data on human engineering design for military systems, equipment, and facilities. This handbook has been designed to supplement MIL-STD-1472D.
12/ene/1990;MIL-HDBK-764;SYSTEM SAFETY ENGINEERING DESIGN GUIDE FOR ARMY MATERIEL;The basic Army safety goal, as expressed in Army Regulation (AR) 385-10 (Ref 1), is to minimize the loss of resources caused by preventable accidents and injuries.
30/jun/1955;MIL-P-16594;MILITARY SPECIFICATION: PROJECTILES, BOMBS, ROCKETS, AND GUIDED MISSILE WARHEADS, INERT PARTS, MANUFACTURE OF;This specification covers general requirements for the manufacture of the inert parts of projectiles, bombs, rockets (rocket heads and rocket motors), and guided missile warheads for the U.S. Navy. STATUS Inactive
21/abr/2011;MIL-PRF-29595A;PERFORMANCE SPECIFICATION: BATTERIES AND CELLS, LITHIUM, AIRCRAFT, GENERAL SPECIFICATION;This specification covers the general requirements for secondary (rechargeable) storage batteries of lithium electrochemistry including, but not limited to, lithium-ion, gel- polymer lithium-ion, and lithium polymer.
01/mar/1999;MIL-PRF-81757D;BATTERIES AND CELLS, STORAGE, NICKEL-CADMIUM, AIRCRAFT, GENERAL SPECIFICATION;General requirements for rechargeable, vented, nickel-cadmium aircraft storage batteries, cells, and all components (electrical and non-electrical) thereof
01/may/1996;MIL-PRF-9977K;PERFORMANCE SPECIFICATION MANUALS, TECHNICAL AND CHECKLISTS: MUNITIONS/WEAPONS LOADING PROCEDURES, NONNUCLEAR AND NUCLEAR AND PACKAGES, STANDARD DATA: MUNITIONS LOADING PROCEDURES, NONNUCLEAR;Requirements for preparation of manuals and checklists for loading/unloading nuclear weapons and nonnuclear munitions on aircraft, and for checking various armament systems used to control/release/fire munitions and weapons that are approved for loading on an aircraft.
24/sep/2003;MIL-STD-1289D;AIRBORNE STORES GROUND FIT AND COMPATIBILITY, REQUIREMENTS;The compatibility qualities of every airborne store undergoing test will be demonstrated in accordance with the provisions of this standard, unless specific deviations are noted and waivers are authorized by appropriate service authority or unless special requirements are specified by the development agency. Stores include missiles, rockets, bombs, nuclear weapons, mines, torpedoes, sonobouys, drones, pyrotechnic devices, detachable fuel and spray tanks, line-source disseminators, dispensers, pods (refueling, thrust augmentation, gun, laser designator, electronic countermeasures, store control data link, reconnaissance, etc.), targets, cargo-drop containers, and launchers such as missile and rocket launchers.
26/sep/1988;MIL-STD-1290;LIGHT FIXED AND ROTARY WING AIRCRAFT CRASH RESISTANCE;This document establishes minimum crash resistance criteria for implementation in the initial stages of aircraft system design.
10/jul/1998;MIL-STD-1316E;DESIGN CRITERIA STANDARD: FUZE DESIGN, SAFETY CRITERIA FOR;This standard establishes design safety criteria for fuzes and Safety and Arming (S&A) devices that are subsystems of fuzes.
15/sep/2020;MIL-STD-1472H;DESIGN CRITERIA STANDARD: HUMAN ENGINEERING;This standard establishes general human engineering criteria for design and development of military systems, equipment, and facilities. Its purpose is to present human engineering design criteria, principles, and practices to be applied in the design of systems, equipment, and facilities.
21/sep/1978;MIL-STD-1553;AIRCRAFT INTERNAL TIME DIVISION COMMAND/RESPONSE MULTIPLEX DATA BUS;This standard establishes requirements for digital, command/response, time division multiplexing (Data Bus) techniques on aircraft. It encompasses the data bus line and its interface electronics illustrated on Figure 1, and also defines the concept of operation and information flow on multiplex data bus and the electrical and functional formats to be employed.
24/nov/1980;MIL-STD-1629A;PROCEDURES FOR PERFORMING A FAILURE MODE, EFFECTS, AND CRITICALITY ANALYSIS;This standard establishes requirements and procedures for performing a failure mode, effects, and criticality analysis (FMECA) to systematically evaluate and document, by item failure mode analysis, the potential impact of each functional or hardware failure on mission success, personnel and system safety, system performance, maintainability, and maintenance requirements.
24/oct/2007;MIL-STD-1760E;AIRCRAFT/STORE ELECTRICAL INTERCONNECTION SYSTEM;This standard defines implementation requirements for the Aircraft/Store Electrical (and fiber optic) Interconnection System (AEIS) in aircraft and stores.
15/jun/1998;MIL-STD-1763;AIRCRAFT/STORES COMPATIBILITY: SYSTEMS ENGINEERING DATA REQUIREMENTS AND TEST PROCEDURES;This handbook applies to all agencies within the DoD and industry involved with determining the extent of compatibility between military aircraft and aircraft stores. It applies to every activity of the system life cycle involving aircraft and/or stores including: development, manufacturing, deployment, operations, support, training and disposal.
24/ene/2014;MIL-STD-1808C;SYSTEM SUBSYSTEM SUB-SUBSYSTEM NUMBERING;This standard sets forth requirements for the system, subsystem, and sub-subsystem numbering requirements for engineering drawings, technical manuals, and other acquisition and logistics support requirements for aircraft, missile and space systems, engines, and ground communication-electronic equipment. Additionally, it may be used for supportability analysis, configuration management, maintenance data collection, or wherever a consistent maintainability related reference numbering requirement exists across a weapon system. Similar al ATA100.
06/jun/2002;MIL-STD-1901A;MUNITION ROCKET AND MISSILE MOTOR IGNITION SYSTEM DESIGN, SAFETY CRITERIA;This standard establishes the design safety criteria for munition ignition systems and associated ignition safety devices used to arm and fire munition propulsion systems.
03/feb/1995;MIL-STD-1913;DIMENSIONING OF ACCESSORY MOUNTING RAIL FOR SMALL ARMS WEAPONS;This document establishes standard methods of dimensioning accessory mounting rails for small arms weapon systems. It also establishes uniform accessory mounting rails And requirements that are interchangeable among the different units of the Defense Department. Adherence to this standard is mandatory in the preparation of drawings, specifications or technical data packages for the accessory mounting rail used for small arms weapons.
01/abr/1996;MIL-STD-1916;TEST METHOD STANDARD: DOD PREFERRED METHODS FOR ACCEPTANCE OF PRODUCT;The purpose of this standard is to encourage defense contractors and other commercial organizations supplying goods and services to the U.S. Government to submit efficient and effective process control (prevention) procedures in place of prescribed sampling requirements. The goal is to support the movement away from an AQL-based inspection (detection) strategy to implementation of an effective prevention-based strategy including a comprehensive quality system, continuous improvement and a partnership with the Government. The underlying theme is a partnership between DoD and the defense supplier, with the requisite competence of both parties, and a clear mutual benefit from processes capable of consistently high quality products and services. The objective is to create an atmosphere where every noncompliance is an opportunity for corrective action and improvement rather than one where acceptable quality levels are the contractually sufficient goals.
30/mar/1979;MIL-STD-2100;PROPELLANT, SOLID, CHARACTERIZATION OF (EXCEPT GUN PROPELLANT);The purpose of this standard is to provide a compendium of standardized methods to determine the intrinsic physical, chemical and interface properties of a solid propellant or propellants proposed for use in tactical rockets, missiles, aircrew escape systems, or auxiliary devices.
08/mar/1991;MIL-STD-2105A;HAZARD ASSESSMENT TESTS FOR NON-NUCLEAR MUNITIONS;The purpose is to provide a framework for the development of a consolidated explosive safety and IM assessment test program for non-nuclear munitions. The tests are to characterize tJre munitions and provide the Weapon Systems Explosive Safety Review Board (WSESRB) information witi which to make a decision.
02/feb/2001;MIL-STD-3009;INTERFACE STANDARD: LIGHTING, AIRCRAFT, NIGHT VISION IMAGING SYSTEM (NVIS) COMPATIBLE;This standard establishes requirements for the emission characteristics of aircraft lighting and display equipment that is intended for use with night vision imaging systems (NVIS). It is applicable to all systems, subsystems, component equipment, and hardware that provide the lighting environment on aircraft where NVIS are employed. This document is applicable to NVIS specific performance requirements but it does not contain general lighting requirements. The contracting activity should extract and tailor applicable general lighting requirements from JSSG-2010-5 and include those requirements in the contract.
31/may/2017;MIL-STD-331D;TEST METHOD STANDARD: FUZES, IGNITION SAFETY DEVICES AND OTHER RELATED COMPONENTS, ENVIRONMENTAL AND PERFORMANCE TESTS FOR;determine the safety, reliability and performance characteristics of weapon initiation systems, ignition safety devices, fuzes and their components at any stage in their life cycle.
27/dic/1984;MIL-STD-453;INSPECTION, RADIOGRAPHIC;The purpose of this military standard is to prescribe the radiographic inspection requirements for metallic and nonmetallic materials.
11/dic/2015;MIL-STD-461G;REQUIREMENTS FOR THE CONTROL OF ELECTROMAGNETIC INTERFERENCE CHARACTERISTICS OF SUBSYSTEMS AND EQUIPMENT;establishes interface and associated verification requirements for the control of the electromagnetic interference (EMI) emission and susceptibility characteristics of electronic, electrical, and electromechanical equipment and subsystems designed or procured for use by activities and agencies of the Department of Defense
11/ene/1993;MIL-STD-462D;MEASUREMENT OF ELECTROMAGNETIC INTERFERENCE CHARACTERISTICS ;This standard establishes techniques to be used for the measurement and determination of the electromagnetic interference characteristics (emission and susceptibility) of electrical, electronic, and electromechanical equipment, as required by MIL-STD-461.
